序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week
10,美國,噬血達琳,2020/07/10,暗光鳥有限公司,MPI MEDIA GROUP,3,17,-26.09%,"4,265",40,"9,405",20200713
11,英國,祕密花園,2020/07/08,車庫娛樂股份有限公司,STUDIOCANAL,57,"5,516",-30.16%,"1,281,384","13,414","3,111,341",20200713
12,日本,角落小夥伴電影版：魔法繪本裡的新朋友,2020/07/03,威視股份有限公司,"ASMIK ACE, INC.",64,"91,903",23.93%,"21,426,718","166,881","39,255,133",20200713
13,美國,戰爭中的鬼故事,2020/07/03,采昌國際多媒體股份有限公司,Atrium Productions Kft.,71,"8,872",-53.99%,"2,082,702","40,308","9,482,130",20200713
14,中華民國,破處,2020/07/03,立正站好思維創意有限公司,展邁核創股份有限公司##立正站好思維創意有限公司##中環國際娛樂事業股份有限公司##BNB拔尼布無限工作坊,90,"8,362",-58.86%,"1,900,983","63,727","11,907,212",20200713
15,泰國,鬼侍女,2020/07/03,海樂影業股份有限公司,"Hollywood (Thailand) Co.,Ltd",56,"3,821",-57.39%,"843,035","20,231","4,535,246",20200713
16,香港,死因無可疑,2020/07/03,華映娛樂股份有限公司,英皇影業有限公司,47,"1,886",-67.01%,"438,489","12,935","3,011,537",20200713
17,日本,賭博默示錄：最終遊戲,2020/07/03,車庫娛樂股份有限公司,NIPPON TELEVISION NETWORK CORPORATION,17,"1,614",-59.28%,"388,327","9,100","2,187,989",20200713
18,印尼,人皮咒,2020/07/03,車庫娛樂股份有限公司,RELAY MOTION KFT.,33,882,-75.25%,"203,439","7,768","1,809,103",20200713
19,巴西,被遺忘的人生,2020/07/03,海鵬影業有限公司,The Match Factory GmbH,13,588,-60.38%,"122,075","3,401","710,966",20200713
20,美國,我的A級秘密,2020/07/03,車庫娛樂股份有限公司,EMBANKMENT FILMS LIMITED,35,516,-77.39%,"121,440","5,504","1,287,231",20200713
21,智利,犬犬風塵,2020/07/03,繁盛映畫有限公司,CAT & Docs,11,217,-81.78%,"48,275","1,801","390,316",20200713
22,法國,超能西蒙的奇幻旅程,2020/07/03,本萃電影有限公司,PULSAR CONTENT SAS,11,127,-79.97%,"28,985","1,296","302,427",20200713
23,冰島,極線生機,2020/07/03,車庫娛樂股份有限公司,XYZ FILMS. LLC,3,134,18.58%,"28,740",366,"81,555",20200713
24,美國,頭號粉絲,2020/07/03,天馬行空數位有限公司,VMI Worldwide,12,47,-91.71%,"10,865","1,245","281,539",20200713
25,英國,吾子吾弟,2020/07/03,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,1,8,-50.00%,"5,280",24,"16,280",20200713
26,日本,遇見世界上另一個你,2020/07/03,車庫娛樂股份有限公司,EVRIT CONSULTING KFT.,2,9,-92.68%,"1,860",175,"40,725",20200713
27,南韓,屍速列車 特別版,2020/07/01,車庫娛樂股份有限公司,CONTENTS PANDA,44,"1,756",-32.75%,"400,785","8,729","2,122,152",20200713
28,美國,萬花嬉春,2020/06/25,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,7,192,-75.63%,"46,160","4,311","1,020,362",20200713
